timestamp,temperature
2026-01-01 00:00:00,22.11
2026-01-01 00:01:00,22.66
2026-01-01 00:02:00,21.66
2026-01-01 00:03:00,21.3
2026-01-01 00:04:00,22.43
2026-01-01 00:05:00,22.3
2026-01-01 00:06:00,22.38
2026-01-01 00:07:00,22.17
2026-01-01 00:08:00,22.05
2026-01-01 00:09:00,22.15
2026-01-01 00:10:00,22.36
2026-01-01 00:11:00,22.74
2026-01-01 00:12:00,21.94
2026-01-01 00:13:00,22.15
2026-01-01 00:14:00,21.63
2026-01-01 00:15:00,21.87
2026-01-01 00:16:00,23.0
2026-01-01 00:17:00,22.33
2026-01-01 00:18:00,22.2
2026-01-01 00:19:00,21.99
2026-01-01 00:20:00,22.91
2026-01-01 00:21:00,23.2
2026-01-01 00:22:00,22.29
2026-01-01 00:23:00,22.55
2026-01-01 00:24:00,23.05
2026-01-01 00:25:00,22.88
2026-01-01 00:26:00,21.88
2026-01-01 00:27:00,22.03
2026-01-01 00:28:00,22.42
2026-01-01 00:29:00,22.01
2026-01-01 00:30:00,22.91
2026-01-01 00:31:00,22.47
2026-01-01 00:32:00,21.84
2026-01-01 00:33:00,22.33
2026-01-01 00:34:00,22.01
2026-01-01 00:35:00,22.07
2026-01-01 00:36:00,22.07
2026-01-01 00:37:00,22.35
2026-01-01 00:38:00,22.94
2026-01-01 00:39:00,22.76
2026-01-01 00:40:00,22.65
2026-01-01 00:41:00,22.87
2026-01-01 00:42:00,22.75
2026-01-01 00:43:00,22.93
2026-01-01 00:44:00,22.66
2026-01-01 00:45:00,23.34
2026-01-01 00:46:00,22.54
2026-01-01 00:47:00,23.1
2026-01-01 00:48:00,22.91
2026-01-01 00:49:00,23.15
2026-01-01 00:50:00,23.4
2026-01-01 00:51:00,7.66
2026-01-01 00:52:00,22.61
2026-01-01 00:53:00,22.85
2026-01-01 00:54:00,22.63
2026-01-01 00:55:00,23.03
2026-01-01 00:56:00,23.51
2026-01-01 00:57:00,22.71
2026-01-01 00:58:00,23.07
2026-01-01 00:59:00,23.37
2026-01-01 01:00:00,23.05
2026-01-01 01:01:00,22.92
2026-01-01 01:02:00,23.38
2026-01-01 01:03:00,22.43
2026-01-01 01:04:00,22.98
2026-01-01 01:05:00,23.21
2026-01-01 01:06:00,23.58
2026-01-01 01:07:00,22.88
2026-01-01 01:08:00,23.11
2026-01-01 01:09:00,22.92
2026-01-01 01:10:00,22.37
2026-01-01 01:11:00,23.22
2026-01-01 01:12:00,23.1
2026-01-01 01:13:00,23.08
2026-01-01 01:14:00,23.69
2026-01-01 01:15:00,23.79
2026-01-01 01:16:00,22.66
2026-01-01 01:17:00,23.16
2026-01-01 01:18:00,22.86
2026-01-01 01:19:00,23.58
2026-01-01 01:20:00,22.48
2026-01-01 01:21:00,24.43
2026-01-01 01:22:00,23.7
2026-01-01 01:23:00,23.77
2026-01-01 01:24:00,23.46
2026-01-01 01:25:00,22.66
2026-01-01 01:26:00,23.6
2026-01-01 01:27:00,23.68
2026-01-01 01:28:00,23.27
2026-01-01 01:29:00,23.03
2026-01-01 01:30:00,23.13
2026-01-01 01:31:00,23.9
2026-01-01 01:32:00,23.26
2026-01-01 01:33:00,23.64
2026-01-01 01:34:00,22.69
2026-01-01 01:35:00,23.3
2026-01-01 01:36:00,23.54
2026-01-01 01:37:00,23.46
2026-01-01 01:38:00,24.16
2026-01-01 01:39:00,23.23
2026-01-01 01:40:00,23.73
2026-01-01 01:41:00,23.34
2026-01-01 01:42:00,23.66
2026-01-01 01:43:00,23.96
2026-01-01 01:44:00,24.39
2026-01-01 01:45:00,23.78
2026-01-01 01:46:00,23.58
2026-01-01 01:47:00,22.75
2026-01-01 01:48:00,23.85
2026-01-01 01:49:00,23.36
2026-01-01 01:50:00,24.29
2026-01-01 01:51:00,24.21
2026-01-01 01:52:00,24.14
2026-01-01 01:53:00,23.49
2026-01-01 01:54:00,24.03
2026-01-01 01:55:00,24.29
2026-01-01 01:56:00,24.46
2026-01-01 01:57:00,24.8
2026-01-01 01:58:00,24.76
2026-01-01 01:59:00,23.57
2026-01-01 02:00:00,23.62
2026-01-01 02:01:00,23.75
2026-01-01 02:02:00,24.32
2026-01-01 02:03:00,24.29
2026-01-01 02:04:00,24.78
2026-01-01 02:05:00,24.01
2026-01-01 02:06:00,24.11
2026-01-01 02:07:00,24.4
2026-01-01 02:08:00,23.97
2026-01-01 02:09:00,24.07
2026-01-01 02:10:00,24.07
2026-01-01 02:11:00,23.43
2026-01-01 02:12:00,24.67
2026-01-01 02:13:00,24.13
2026-01-01 02:14:00,24.62
2026-01-01 02:15:00,24.64
2026-01-01 02:16:00,24.46
2026-01-01 02:17:00,24.17
2026-01-01 02:18:00,23.73
2026-01-01 02:19:00,24.19
